ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
attitude			态度					houding	attitude				actitud					einstellung	Einstellung				bad; positive; good; outlook; altitude; teenager; demeanor; problem; behavior; mean; negative; approach; manner; mood; personality; rude; opinion; adjustment; aggressive; anger	19; 13; 8; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 2; 2; 2	端正; 不好; 恶劣; 好; 积极; 心态; 思考; 温和	15; 7; 7; 6; 4; 3; 3; 3									air; attitude; recht; pose; gedrag; rug; manier; rechtop; zitten; fier; karakter; postuur; staan; flink; positie; schouders; stand; stijf; uitstraling; arrogant	26; 22; 19; 12; 10; 10; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2	houding; gedrag; air; instelling; gewoonte; arrogant; pose; arrogantie; aangeleerd; adel; leren; negatief; positief; punten; school	68; 28; 12; 7; 6; 5; 5; 4; 3; 3; 3; 3; 3; 3; 3							positiva; cuestión; postura; buena; comportamiento; carácter; negativa; persona; voluntad; decisión; firme; ganas; hacer; acción	10; 9; 8; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 2											Meinung; Haltung; Beruf; Ansicht; Persönlichkeit; Arbeit; Computer; KA; positiv; Attitude; Attitüde; Charakter; Gedanken; Lebensweise	16; 7; 5; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2						
audience			观众					publiek					público	audiencia				Publikum					theater; crowd; people; play; applause; clap; performance; clapping; listen; concert; group; watch; stage; fans; show; spectator; viewers; audio; laughter; listeners	27; 20; 17; 16; 14; 11; 10; 9; 9; 8; 8; 7; 5; 4; 4; 4; 4; 3; 3; 3	鼓掌; 演员; 电影; 舞台; 剧场; 剧院; 演出; 表演; 观看; 喝彩; 很多; 话剧; 众多	12; 6; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 2									mensen; volk; massa; applaus; openbaar; toeschouwers; optreden; veel volk; menigte; theater; voetbal; zaal; concert; lawaai; luisteren; voorstelling; aandacht; kijken	26; 25; 23; 18; 18; 17; 11; 9; 7; 6; 6; 5; 4; 4; 4; 4; 3; 3									gente; privado; audiencia; personas; todos; muchos; atención; espectadores; espectáculo; libre; teatro; baño; conocido; derecho; espacio; multitud	23; 13; 7; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	público; gente; juicio; abogado; escucha; juzgado; personas; escuchar; espectadores; espectáculo; juez; radio; auditorio; mucho	20; 9; 8; 7; 6; 6; 6; 5; 5; 5; 5; 4; 3; 3							Applaus; Theater; Zuschauer; Zuhörer; Konzert; Bühne; Menschen; Klatschen; Leute; Vortrag; Zirkus; klatschen; Auditorium; Aufregung	18; 14; 12; 7; 6; 5; 5; 4; 3; 3; 3; 3; 2; 2								
author			作者					auteur					autor					Autor					book; writer; write; creator; novel; pages; publish; story; title; words; literature; reading	73; 57; 12; 11; 10; 5; 5; 5; 5; 5; 4; 4	小说; 书; 写作; 作品; 作家; 抄袭; 笔; 署名; 书籍; 佚名; 写文	12; 8; 8; 7; 6; 3; 3; 3; 2; 2; 2									boek; schrijver; lezen; roman; schrijven; film; boekenbeurs; literatuur; man; rechten; bekend; brusselmans; toneel	79; 68; 12; 12; 10; 7; 5; 4; 4; 4; 3; 3; 3									libro; escritor; creador; obra; dueño; artista; poeta; artículo; cantante	24; 20; 16; 5; 4; 3; 3; 2; 2									Buch; Schriftsteller; schreiben; Roman; Verfasser; Literatur; Verlag; lesen; Artikel	35; 16; 10; 8; 5; 4; 4; 4; 2								
autumn	Person/Thing	Time	秋天					herfst					otoño					Herbst					leaves; fall; orange; season; spring; winter; color; brown; cold; trees; cool; pumpkin; summer	71; 66; 13; 13; 12; 11; 9; 7; 7; 6; 5; 5; 5	落叶; 冬天; 枫叶; 春天; 丰收; 夏天; 秋高气爽; 金黄; 凉爽; 季节; 果实; 红叶	21; 10; 9; 7; 6; 5; 5; 4; 3; 3; 3; 3									bladeren; kleuren; wind; regen; winter; bomen; koud; bos; bruin; jaargetijde; donker; mooi; seizoen; blaadjes; lente; nat; rood; zomer; fris; grijs	61; 34; 13; 12; 10; 9; 8; 7; 7; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3									hojas; estación; marrón; frío; invierno; amarillo; primavera; verano; árboles; humedad; naranja; ocre	36; 20; 11; 8; 8; 5; 5; 5; 4; 3; 3; 3									Blätter; bunt; Laub; Farben; Frühling; Jahreszeit; Regen; Wind; Winter; blätter; Sommer; Halloween; Kürbis	28; 8; 7; 6; 5; 5; 5; 5; 5; 5; 4; 3; 3								
baby			婴儿	宝宝				baby					bebé	bebe				Baby					infant; child; cry; cute; boy; diaper; small; girl; young; newborn; soft; blue; bottle; cakes; face; sweet; coddle; pink; bonnet; little	24; 17; 12; 10; 9; 9; 8; 7; 7; 6; 6; 5; 5; 5; 5; 5; 4; 4; 3; 3	可爱; 哭; 奶粉; 宝宝; 小; 妈妈; 婴儿车; 吵闹; 哭闹; 摇篮; 试管; baby; 保护; 天使	13; 8; 8; 6; 5; 4; 4; 3; 3; 3; 3; 2; 2; 2	可爱; 婴儿; 孩子; 小; 妈妈; 宝贝; 小孩; 我; baby; 乖; 亲密	16; 11; 9; 5; 3; 3; 3; 3; 2; 2; 2							klein; schattig; lief; wenen; pamper; luier; moeder; huilen; kind; melk; wieg; geboorte; papfles; zacht; fopspeen; roze; tutter; zwanger; fles	41; 18; 16; 15; 14; 12; 12; 11; 11; 10; 10; 7; 7; 6; 5; 4; 4; 4; 3									niño; pañal; hijo; ternura; amor; lindo; llanto; mamá; pequeño; vida; chupete; hermoso; llorar; madre; mamadera; criatura; cuidado	19; 11; 8; 6; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3	niño; toma; pañales; amor; hijo; ternura; llanto; líquido; chico; chiquito; ingiere; pequeño; persona; agua; infante; sed; chupete	23; 11; 10; 7; 7; 7; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 2							Kind; klein; schreien; süß; Mutter; SÜSS; Schreien; Eltern; Geburt; Glück; Leben; Mensch; Säugling	16; 16; 7; 7; 6; 5; 4; 3; 3; 3; 3; 3; 3								
bad	Property	Emotions and values	不好的	坏	不好	坏的		slecht					malo					schlimm	mies				good; evil; naughty; rotten; boy; awful; apple; no; ugly; dog; horrible; man; horrid; mean; nasty; terrible; wrong; bone; breath; day	46; 25; 12; 10; 8; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3	好的; 坏的; 事情; 人; 坏; 糟糕; 预感; 联想; 事; 天气	13; 9; 7; 5; 5; 4; 4; 3; 2; 2	好; 人; 坏人; 坏蛋; 蛋; 东西; 女人; 好人	14; 12; 12; 7; 3; 2; 2; 2	坏; 好; 糟糕; 拒绝; 事情; 孬; 很好; 意思	9; 8; 6; 5; 3; 3; 3; 3	好的; 人; 食物; 苹果; 水果; 腐烂; 不好; 坏人	14; 8; 7; 6; 5; 5; 4; 3			goed; weer; niet goed; kwaad; fout; stout; bedorven; mens; negatief; rot; verkeerd; boos; eten; karakter; vies; ziek; duivel; rapport; gezind; verdorven	20; 16; 15; 11; 10; 9; 7; 7; 7; 7; 7; 5; 5; 5; 5; 5; 4; 4; 3; 3									bueno; feo; maldad; negativo; persona; daño; malvado; diablo; hombre; oscuro; pésimo	20; 9; 6; 5; 5; 4; 4; 3; 3; 3; 3									schlecht; böse; arg; Schmerz; Unfall; traurig; übel; Schmerzen; Tod; Trauer; Unglück; Verletzung	15; 11; 7; 5; 5; 4; 4; 3; 3; 3; 3; 3	schlecht; gemein; Laune; Schlecht; Wetter; blöd; fies; krank; Stimmung; böse; negativ	30; 9; 5; 5; 5; 4; 4; 4; 3; 3; 3						
bag	Person/Thing	Basic actions and technology	袋子	包				tas	zak				bolsa					Tasche	Tüte	Beutel			sack; paper; purse; shopping; groceries; plastic; carry; lady; hand; catch; hag; handbag; man; brown; end; of bones; shoulder; capture; cloth; container	23; 17; 16; 15; 14; 12; 11; 9; 6; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3	塑料袋; 口袋; 塑料; 装东西; 环保; 超市; 袋鼠; 麻袋; 东西; 垃圾袋; 帆布袋; 白色; 装	12; 9; 9; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3	包子; 书包; 奢侈品; 皮包; 背包; 买; 贵; lv; 包包; 包裹; 挎包; 钱	13; 6; 6; 6; 6; 4; 4; 3; 3; 3; 3; 3							koffie; zak; boeken; drinken; thee; handtas; geld; melk; boodschappen; kop; school; drank; handig; leer; rugzak; dragen; lepeltje; portefeuille; zwaar; boekentas	37; 14; 13; 11; 10; 9; 8; 8; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4; 3	winkel; plastiek; broek; sinterklaas; papier; tas; zwarte piet; boodschappen; plastic; doek; vuil; vuilnis; winkelen; zakdoek; broekzak; dragen; jute; bruin; gb; handig	18; 16; 15; 13; 10; 10; 10; 8; 8; 7; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3							nylon; basura; plástico; cartera; dinero; mandados; recipiente; supermercado; guardar; valores; blanca; compras; de valores; bolsa de basura	14; 12; 12; 7; 7; 7; 7; 7; 6; 6; 5; 5; 5; 4									tragen; einkaufen; Handtasche; Rucksack; Beutel; Geldbeutel; Hose; Hosentasche; Leder; Sack; Dieb; Einkauf; Frau	8; 7; 6; 6; 4; 4; 4; 4; 4; 4; 3; 3; 3	Plastik; Papier; Einkauf; Tasche; einkaufen; Sack; Joint; Kiffen; tragen; Aldi; Beutel	18; 16; 11; 11; 7; 6; 5; 4; 4; 3; 3	Tasche; Sack; Geld; Känguru; Einkauf; Jute; Plastik; Stoff; Turnen; Tüte	20; 15; 12; 10; 4; 4; 4; 4; 3; 3				
balance			平衡					evenwicht	balans				equilibrio	balance				Gleichgewicht	Balance	Ausgeglichenheit	Ausgleich		scale; beam; even; equal; weight; steady; life; yoga; equilibrium; tip; act; bank; fair; fall; tightrope; account; bar; fairness; justice; measure	26; 22; 15; 12; 11; 8; 7; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	天平; 跷跷板; 平衡木; 木; 球; 稳定; 生活; 体操; 保持	11; 11; 9; 4; 4; 4; 3; 2; 2									balans; balk; turnen; vallen; stabiel; oor; gelijk; goed; rust; stabiliteit; voeding; weegschaal; gehoor; fiets; gelukkig; gezondheid; harmonie; mooi; stoornis	49; 25; 12; 11; 10; 9; 7; 6; 6; 6; 6; 5; 4; 3; 3; 3; 3; 3; 3	evenwicht; weegschaal; gewicht; boekhouding; economie; boekhouden; wegen; leven; evenwichtig; goed; opmaken; gelijk; koorddansen; koper; nodig; rust	65; 55; 14; 12; 7; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3; 3							balance; paz; igualdad; balanza; cuerda; estabilidad; bienestar; circo; armonía; estable; mente; oído; balanceado	11; 9; 7; 6; 6; 6; 4; 4; 3; 3; 3; 3; 2	equilibrio; balanza; contabilidad; cuentas; equidad; finanzas; números; positivo; cierre; comparación	26; 13; 5; 5; 4; 4; 3; 3; 2; 2							Balance; Waage; Ohr; Sport; ausgeglichen; halten; Schwindel; Ungleichgewicht; Yoga; balancieren	28; 11; 4; 4; 4; 4; 3; 3; 3; 3	Gleichgewicht; Waage; ausgeglichen; Ausgeglichenheit; Seiltänzer; Zirkus; Wippe; Yoga; Ausgeglichen; Brett; Drahtseil	29; 8; 5; 4; 4; 4; 3; 3; 2; 2; 2	Balance; Ruhe; Zufriedenheit; Yoga; Gelassenheit; Gleichgewicht; ruhig; Frieden; Meditation; Waage; Gesundheit; angenehm	12; 12; 8; 7; 5; 5; 5; 4; 4; 4; 3; 3	Balance; Sport; Gleichgewicht; Waage; Gerechtigkeit; Fußball; Geld; gerecht; Freizeit; Entschädigung; fair	14; 9; 8; 8; 7; 5; 5; 5; 4; 3; 3		
ball			球	皮球	舞会			bal					pelota					Ball					round; dance; game; play; base; bat; bounce; sport; basket; fun; baseball; sphere; football; throw; basketball; foot; beach; catch; cricket; party	25; 17; 16; 16; 14; 14; 13; 12; 10; 10; 8; 8; 7; 7; 6; 4; 3; 3; 3; 3	篮球; 足球; 圆; 地球; 乒乓球; 皮球; 圆的; 羽毛球; 运动	18; 16; 11; 8; 5; 5; 3; 3; 3	踢; 篮球; 足球; 孩子; 游戏; 小孩; 拍; 玩具; 弹; 手	9; 8; 8; 7; 7; 6; 6; 4; 2; 2	礼服; 裙子; 跳舞; 舞伴; 高跟鞋; 美女; 舞蹈; 面具; 假面; 化妆; 毕业; 音乐; 交际	10; 9; 7; 6; 6; 5; 5; 4; 3; 3; 3; 3; 2					voetbal; rond; sport; spelen; spel; strand; tennis; kinderen; volleybal; goal; basketbal; dansen; rood; gras; basket; botsen; lopen	51; 44; 20; 19; 13; 9; 9; 8; 8; 6; 5; 5; 5; 4; 3; 3; 3									fútbol; juego; deporte; balón; redonda; niños; bola; diversión; esfera; básquetbol; Maradona; amigos	35; 21; 14; 9; 6; 5; 4; 4; 4; 3; 3; 2									rund; Fußball; Sport; Spiel; spielen; Rund; Spielen; tanzen; werfen; Tanz; rot	22; 21; 11; 8; 7; 5; 5; 5; 5; 4; 4								
baseball			棒球					honkbal	baseball				béisbol										bat; sport; game; diamond; ball; America; field; glove; cap; boring; hat; men; mitt; base; basketball; grass; home run; rounders; soccer; team	48; 22; 16; 15; 14; 10; 8; 8; 7; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4	棒球帽; 运动; 帽子; 棒球服; 日本; 棒球棍; 球棒; 美国; 运动员; 垒球; 手套; 打	14; 14; 8; 8; 5; 5; 5; 4; 4; 3; 3; 3									sport; amerika; knuppel; bat; lopen; bal; pet; baseball; basebal; veld; mannen; amerikaans; spel; pitcher; slaan; stok; america; balsport	46; 23; 23; 21; 16; 15; 11; 8; 7; 6; 5; 4; 4; 3; 3; 3; 2; 2	amerika; sport; pet; bat; knuppel; bal; honk; lopen; veld; home-run; honkbal; petje; usa; amerikaans; balletje; handschoen; jongens	37; 37; 19; 18; 17; 14; 6; 6; 6; 4; 4; 4; 4; 3; 3; 3; 3							deporte; pelota; bate; juego; Estados Unidos; yanqui; bat; bola; fútbol	33; 22; 19; 12; 6; 6; 4; 4; 3																		
bat			蝙蝠	球棒				vleermuis					murciélago										baseball; ball; fly; cave; wings; black; vampire; animal; cricket; hit; man; night; mammal; rat; sport; Batman; cat; creepy; sonar; wood	34; 28; 24; 14; 13; 12; 12; 11; 8; 7; 7; 7; 5; 5; 5; 3; 3; 3; 3; 3	蝙蝠侠; 倒挂; 超声波; 吸血鬼; 翅膀; 山洞; 黑暗; 侠; 动物; 吸血; 哺乳动物; 夜晚; 洞穴	12; 8; 8; 7; 7; 5; 5; 3; 3; 3; 3; 3; 3	棒球; 球; 运动; 棍子; 暴力; 棒子; 棒球帽; 棒球服; 球场; 保龄球; 全垒打; 帽子	28; 5; 5; 4; 3; 3; 3; 3; 3; 2; 2; 2							donker; nacht; vampier; zwart; vliegen; batman; grot; ondersteboven; vleugels; klein; sonar; bloed; dier; lelijk; vies; dracula	29; 29; 21; 20; 14; 13; 13; 12; 11; 7; 7; 6; 6; 5; 5; 4									animal; noche; alas; Batman; oscuridad; mamífero; vampiro; ciego; nocturno; negro; rabia; asco; cueva; ratón; sangre	16; 15; 12; 11; 9; 8; 7; 6; 6; 5; 5; 4; 4; 4; 4																		
bear	Person/Thing	Animals	熊	承受				beer					oso					bär	Bär				grizzly; animal; black; hug; brown; teddy; carry; cub; big; fur; polar; endure; burden; arms; furry; stand; woods; bare; claw; ferocious	25; 18; 14; 14; 13; 13; 11; 11; 9; 8; 8; 7; 6; 5; 4; 4; 4; 3; 3; 3	熊猫; 北极熊; 狗熊; 俄罗斯; 熊掌; 动物; 孩子; 棕熊; 棕色; 熊出没; 黑熊; 可爱; 掌; 黑色; 光头强	14; 8; 8; 7; 7; 5; 4; 4; 4; 4; 4; 3; 3; 3; 2	压力; 痛苦; 承担; 重量; 能力; 负担; 责任; 苦难	22; 18; 8; 7; 5; 4; 4; 3							bruin; gevaarlijk; bos; groot; knuffel; dier; zacht; honing; lief; teddy; sterk; gevaar; grizzly; natuur; kind; klauwen; zoo; knuffelbeer; vis; wild	41; 19; 16; 16; 16; 11; 11; 8; 8; 8; 7; 6; 6; 6; 5; 5; 5; 3; 3; 3									animal; polar; grande; peludo; panda; abrazo; bosque; mamífero; marrón; pardo; peluche; negro; bestia	23; 16; 14; 12; 8; 7; 4; 4; 4; 4; 4; 3; 2											braun; Tier; Kanada; GROSS; Honig; Wald; Fell; groß; stark; Braun; Eisbär; Grizzly; Teddy; gefährlich	14; 9; 8; 7; 6; 6; 5; 5; 5; 4; 4; 3; 3; 3						
beautiful			美丽	美	漂亮	美好		mooi					hermoso					wunderschön	schön				pretty; girl; gorgeous; lovely; woman; nature; attractive; art; hot; nice; sexy; stunning; sunset; ugly; amazing; eye; flower; hair; scenery; sun	33; 21; 17; 17; 10; 8; 7; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	漂亮; 好看; 可爱; 动人; 女人; 美人; 美女; 风景; 美好; 花; 丑陋; 人生; 优雅; 大方; 女子	20; 8; 6; 5; 5; 4; 4; 4; 3; 3; 2; 2; 2; 2; 2	漂亮; 丑; 美丽; 好; 丽; 美人; 美女; 女; 好看; 花	14; 7; 7; 6; 5; 5; 5; 4; 4; 3	美丽; 好看; 女人; 美女; 小姐姐; 可爱; 女孩; 女生	16; 10; 7; 7; 4; 3; 3; 3	生活; 世界; 未来; 美丽; 阳光; 事物; 幸福; 爱情; 人生; 风景; 人; 向往; 太阳	12; 6; 6; 6; 5; 4; 4; 4; 3; 3; 2; 2; 2			meisje; natuur; lelijk; knap; bloem; vrouw; blond; kunst; lief; weer; haar; kleur; leuk; dieren; landschap; model; muziek; schoon; uiterlijk; geel	18; 16; 13; 11; 9; 8; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 4; 3									lindo; bello; precioso; bonito; amor; belleza; día; feo; adjetivo; bebé; divino; agradable	38; 27; 11; 5; 4; 4; 4; 4; 3; 3; 3; 2											hübsch; Natur; angenehm; Bild; Blumen; Frau; Landschaft; hässlich; Freude; Wetter; Ästhetik; Gesicht	11; 9; 5; 4; 4; 4; 4; 4; 3; 3; 3; 2						
beauty			美丽	美人				schoonheid					belleza					Schönheit					beast; pretty; queen; woman; pageant; lovely; skin deep; love; and the beast; beholder; face; flower; makeup; nature; nice; rose; smile; attractive; is only skin deep; beautiful	25; 13; 11; 10; 8; 7; 7; 6; 4; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3	漂亮; 好看; 可爱; 动人; 女人; 美人; 美女; 风景; 美好; 花; 丑陋; 人生; 优雅; 大方; 女子	20; 8; 6; 5; 5; 4; 4; 4; 3; 3; 2; 2; 2; 2; 2	美女; 漂亮; 美丽; 西施; 动人; 气质; 江山; 鱼; 优雅; 古代; 可爱; 好看; 如玉	9; 7; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2							mooi; natuur; vrouw; kunst; uiterlijk; innerlijk; knap; miss; puur; binnenin; bloem; model; pracht; prachtig; prinses; van binnen; aantrekkelijk; beeld; jong; karakter	37; 18; 17; 11; 9; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3									lindo; mujer; hermosa; armonía; arte; flor; hermosura; atractivo; cara; estereotipo; fealdad; lindura; paisaje; pureza	18; 14; 8; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3									Frau; Gesicht; Natur; relativ; Bild; Haare; Attraktivität; Augen; Frauen; Haut; hübsch; Ästhetik	12; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3								
bed	Person/Thing	The house	床					bed					cama					Bett					sleep; pillow; sheets; mattress; time; comfort; rest; sex; bug; room; blanket; comfortable; cot; head; warm; covers; flowers; frame; night; roses	77; 18; 13; 11; 10; 9; 9; 9; 7; 7; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4	睡觉; 被子; 床单; 枕头; 舒服; 休息; 困; 家; 床垫; 舒适; 上床; 性	20; 14; 11; 11; 9; 5; 4; 3; 3; 3; 2; 2									slapen; kussen; warm; laken; seks; dromen; moe; zacht; deken; rust; nacht; matras; zalig; groot; rusten; dekbed	89; 28; 17; 16; 13; 11; 10; 10; 9; 8; 7; 4; 4; 3; 3; 2									dormir; descanso; sueño; cuarto; descansar; sexo; almohada; colchón; lecho; sabana; sábanas; colcha; comodidad; sábana	33; 22; 16; 7; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3									schlafen; Kissen; warm; weich; Decke; gemütlich; Schlafen; Sex; Erholung; Schlaf; Matratze; liegen; Nacht	31; 13; 12; 9; 7; 7; 6; 6; 5; 5; 4; 4; 3								
beer			啤酒					bier					cerveza					Bier					drink; ale; alcohol; glass; wine; hops; bottle; drunk; lager; good; bar; cold; foam; amber; bubbles; party; brown; can; friends; fun	23; 19; 15; 13; 12; 11; 10; 9; 9; 7; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3	青岛; 喝酒; 喝; 小麦; 泡沫; 白酒; 聚会; 啤酒肚; 喝醉; 气泡; 炸鸡; 烧烤; 红酒; 难喝	7; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4									café; dronken; alcohol; schuim; drank; lekker; glas; drinken; pint; dorst; feest; kraag; vrienden; belgisch; bitter; geel; gezelligheid; jupiler; zat; zomer	22; 18; 17; 16; 15; 14; 13; 12; 8; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4									alcohol; bebida; fría; amigos; birra; espuma; verano; fiesta; negra; amarga; amarilla; botella; jarra; relax; rubia; asco; bar	17; 15; 15; 12; 10; 10; 6; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2									Alkohol; Hopfen; Schaum; Getränk; trinken; Kneipe; Krug; Glas; Pils; bitter; Durst; Flasche	15; 9; 9; 7; 7; 5; 5; 4; 4; 4; 3; 3								
behavior			行为					gedrag					comportamiento					Benehmen					action; bad; good; act; attitude; mood; psychology; manners; child; study; modification; personality; conduct; discipline; doing; problems; cognitive; inappropriate; naughty; nice	23; 19; 17; 14; 10; 8; 8; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	举止; 行动; 动作; 怪异; 规范; 准则; 原因; 后果; 行为艺术; 诡异; 不端; 习惯	14; 8; 4; 4; 4; 3; 3; 3; 3; 3; 2; 2									houding; goed; slecht; manieren; attitude; doen; kinderen; school; mens; stout; zeden; beleefd; handeling; opvoeding; psychologie; aangeleerd; beleefdheid; braaf; code; karakter	22; 13; 8; 7; 6; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3									actitud; conducta; bueno; acción; animal; malo; social; actuar; adecuado; buen; educación; humano; moral; acorde; agresivo; carácter; comportarse	17; 9; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2																		
belt	Person/Thing	Clothing and grooming	皮带	腰带				riem					cinturón					Gürtel					buckle; pants; leather; waist; hit; loop; black; seat; trousers; Bible; brown; singing; strap; tight; cinch; dress; drink; green; jeans	25; 25; 23; 18; 16; 11; 7; 7; 7; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	裤子; 腰带; 男人; 扣子; 真皮; 肚子; 鞭打; SM; sm; 吃; 品牌; 惩罚; 抽	15; 9; 6; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2	皮带; 裤子; 腰; 裙子; 牛皮; 皮革; 细; 孔; 杀人放火; 束腰; 棕色	17; 12; 4; 4; 3; 3; 3; 2; 2; 2; 2							broek; leer; gesp; leder; gaatjes; boot; gordel; mooi; slaan; zwart; accessoire; vast; auto; bruin; ceintuur; centuur; dik; kledij	84; 19; 16; 10; 7; 5; 5; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3									pantalón; cuero; seguridad; cintura; hebilla; cinto; apretar; auto; cinta; ajustar; lazo	21; 14; 12; 11; 9; 6; 4; 4; 4; 3; 3									Hose; Leder; Schnalle; Bauch; eng; Rose; schnalle; Kleidung; Loch; Tier	31; 21; 17; 6; 6; 5; 5; 3; 3; 3								
bet			打赌	下注	赌注	赌博		wedden					apuesta	apostar				wetten					gamble; wager; money; horse; win; lose; you; race; poker; risk; guess; hope; odds; sure; ante; chance; chips; game	41; 35; 20; 15; 13; 11; 11; 8; 7; 5; 4; 4; 4; 4; 3; 3; 3; 3	赌博; 赌注; 输赢; 钱; 赌徒; 输; 赢; 赌场; 金钱; 赌局; 输了; 骰子; bet; 博弈; 喝酒; 失败	10; 10; 10; 8; 6; 6; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2					钱; 澳门; 赌场; 赌徒; 输; 倾家荡产; 输钱; 家破人亡; 危害; 沉迷; 上瘾; 彩票; 打牌	11; 9; 6; 6; 6; 5; 5; 4; 3; 3; 2; 2; 2			geld; gokken; winnen; dat; weddenschap; casino; spel; verliezen; paarden; gelijk halen; verlies; wedstrijd; lotto; poker; spelen; verslaving; inzetten; loon	46; 36; 14; 12; 11; 9; 9; 9; 7; 6; 6; 6; 5; 4; 4; 4; 3; 3									juego; dinero; casino; ganar; perder; plata; azar; riesgo; timba; caballos; cartas; jugar	20; 17; 15; 9; 8; 8; 6; 6; 6; 3; 3; 3	jugar; ganar; juego; dinero; casino; arriesgar; perder; azar; jugarse; plata	28; 15; 15; 12; 9; 7; 7; 6; 5; 4																
